timestamp,asset_id,count,open,high,low,close,volume,vwap,target
1607688360000,101,1,7.68e-06,7.69e-06,7.68e-06,7.69e-06,0.03401738,7.686666666666665e-06,-0.0013003901170350884
1607688420000,101,1,7.69e-06,7.72e-06,7.69e-06,7.71e-06,2.14788408,7.706666666666667e-06,-0.0038910505836577958
1607688480000,101,1,7.72e-06,7.72e-06,7.7e-06,7.7e-06,0.4126522,7.706666666666667e-06,-0.0012987012987014657
1607688540000,101,1,7.71e-06,7.71e-06,7.71e-06,7.71e-06,0.31814544,7.71e-06,-0.0025940337224386045
1607688600000,101,1,7.7e-06,7.71e-06,7.69e-06,7.7e-06,0.55394068,7.7e-06,0.0012987012987013546
1607688660000,101,1,7.69e-06,7.69e-06,7.68e-06,7.68e-06,0.0145953,7.683333333333333e-06,0.0026041666666669627
1607688720000,101,1,7.68e-06,7.68e-06,7.68e-06,7.68e-06,0.0,7.68e-06,0.003906250000000222
1607688780000,101,1,7.68e-06,7.69e-06,7.68e-06,7.68e-06,0.05525899,7.683333333333333e-06,0.0026041666666669627
1607688840000,101,1,7.68e-06,7.7e-06,7.68e-06,7.7e-06,0.63905387,7.693333333333333e-06,-0.0025974025974028203
1607688900000,101,1,7.7e-06,7.7e-06,7.7e-06,7.7e-06,0.0200662,7.7e-06,-0.0025974025974028203
1607688960000,101,1,7.69e-06,7.69e-06,7.69e-06,7.69e-06,0.00219934,7.69e-06,-0.0013003901170350884
1607689020000,101,1,7.7e-06,7.7e-06,7.69e-06,7.69e-06,0.08051867,7.693333333333333e-06,0.0013003901170354215
1607689080000,101,1,7.69e-06,7.7e-06,7.68e-06,7.7e-06,0.35444928,7.693333333333333e-06,0.0
1607689140000,101,1,7.69e-06,7.7e-06,7.68e-06,7.68e-06,0.68515644,7.686666666666667e-06,0.0013020833333332593
1607689200000,101,1,7.68e-06,7.69e-06,7.68e-06,7.69e-06,0.00399849,7.686666666666665e-06,0.0
1607689260000,101,1,7.69e-06,7.69e-06,7.68e-06,7.69e-06,0.045433,7.686666666666665e-06,0.0013003901170354215
1607689320000,101,1,7.69e-06,7.69e-06,7.69e-06,7.69e-06,0.0076131,7.69e-06,-0.0013003901170350884
1607689380000,101,1,7.69e-06,7.69e-06,7.69e-06,7.69e-06,0.0033067,7.69e-06,0.0
1607689440000,101,1,7.68e-06,7.69e-06,7.68e-06,7.69e-06,0.11521663,7.686666666666665e-06,0.0
1607689500000,101,1,7.7e-06,7.7e-06,7.68e-06,7.68e-06,0.27207497,7.686666666666667e-06,0.0013020833333332593
1607689560000,101,1,7.69e-06,7.69e-06,7.68e-06,7.68e-06,0.01136169,7.683333333333333e-06,0.0013020833333332593
1607689620000,101,1,7.68e-06,7.7e-06,7.68e-06,7.7e-06,0.5907349,7.693333333333333e-06,-0.0012987012987014657
1607689680000,101,1,7.7e-06,7.7e-06,7.69e-06,7.69e-06,0.18556975,7.693333333333333e-06,-0.0013003901170350884
1607689740000,101,1,7.69e-06,7.69e-06,7.69e-06,7.69e-06,0.0191481,7.69e-06,-0.0013003901170350884
1607689800000,101,1,7.69e-06,7.7e-06,7.68e-06,7.69e-06,0.2151019,7.69e-06,0.0013003901170354215
1607689860000,101,1,7.69e-06,7.7e-06,7.69e-06,7.7e-06,0.13878158,7.696666666666667e-06,-0.0012987012987014657
1607689920000,101,1,7.69e-06,7.7e-06,7.68e-06,7.7e-06,0.70113867,7.693333333333333e-06,-0.0012987012987014657
1607689980000,101,1,7.68e-06,7.69e-06,7.68e-06,7.69e-06,0.15579147,7.686666666666665e-06,0.0
1607690040000,101,1,7.69e-06,7.7e-06,7.69e-06,7.69e-06,0.16276569,7.693333333333333e-06,0.0013003901170354215
1607690100000,101,1,7.69e-06,7.69e-06,7.69e-06,7.69e-06,0.06408077,7.69e-06,0.0013003901170354215
1607690160000,101,1,7.69e-06,7.7e-06,7.69e-06,7.7e-06,0.047288,7.696666666666667e-06,-0.0012987012987014657
1607690220000,101,1,7.69e-06,7.7e-06,7.68e-06,7.7e-06,0.10274256,7.693333333333333e-06,-0.0012987012987014657
1607690280000,101,1,7.68e-06,7.7e-06,7.68e-06,7.69e-06,0.05531341,7.69e-06,0.0
1607690340000,101,1,7.69e-06,7.69e-06,7.68e-06,7.69e-06,0.42879251,7.686666666666665e-06,0.0013003901170354215
1607690400000,101,1,7.7e-06,7.7e-06,7.7e-06,7.7e-06,0.015631,7.7e-06,0.0
1607690460000,101,1,7.69e-06,7.7e-06,7.68e-06,7.68e-06,0.00992371,7.686666666666667e-06,0.0013020833333332593
1607690520000,101,1,7.69e-06,7.69e-06,7.68e-06,7.68e-06,0.16907141,7.683333333333333e-06,0.0013020833333332593
1607690580000,101,1,7.69e-06,7.7e-06,7.68e-06,7.68e-06,0.19263177,7.686666666666667e-06,0.0026041666666669627
1607690640000,101,1,7.68e-06,7.69e-06,7.68e-06,7.68e-06,0.0076744,7.683333333333333e-06,0.0
1607690700000,101,1,7.69e-06,7.69e-06,7.67e-06,7.68e-06,0.07847823,7.68e-06,0.0
1607690760000,101,1,7.68e-06,7.71e-06,7.68e-06,7.7e-06,1.44822259,7.696666666666667e-06,-0.0025974025974028203
1607690820000,101,1,7.7e-06,7.7e-06,7.7e-06,7.7e-06,0.1177946,7.7e-06,-0.0025974025974028203
1607690880000,101,1,7.7e-06,7.7e-06,7.69e-06,7.7e-06,0.16399943,7.696666666666667e-06,-0.0025974025974028203
1607690940000,101,1,7.7e-06,7.71e-06,7.7e-06,7.7e-06,1.13592203,7.703333333333335e-06,0.0
1607691000000,101,1,7.7e-06,7.7e-06,7.7e-06,7.7e-06,0.0,7.7e-06,0.0
1607691060000,101,1,7.69e-06,7.69e-06,7.69e-06,7.69e-06,0.00368351,7.69e-06,0.0013003901170354215
1607691120000,101,1,7.7e-06,7.7e-06,7.7e-06,7.7e-06,0.0037422,7.7e-06,0.0
1607691180000,101,1,7.7e-06,7.7e-06,7.69e-06,7.69e-06,0.0041158,7.693333333333333e-06,0.0013003901170354215
1607691240000,101,1,7.7e-06,7.7e-06,7.7e-06,7.7e-06,0.087472,7.7e-06,-0.0012987012987014657
1607691300000,101,1,7.7e-06,7.7e-06,7.7e-06,7.7e-06,0.0326249,7.7e-06,0.0
1607691360000,101,1,7.7e-06,7.7e-06,7.69e-06,7.69e-06,0.83415875,7.693333333333333e-06,0.0
1607691420000,101,1,7.7e-06,7.71e-06,7.69e-06,7.7e-06,0.3186539,7.7e-06,0.0
1607691480000,101,1,7.71e-06,7.71e-06,7.7e-06,7.7e-06,0.22711333,7.703333333333335e-06,0.0
1607691540000,101,1,7.69e-06,7.7e-06,7.69e-06,7.7e-06,0.00527798,7.696666666666667e-06,-0.0012987012987014657
1607691600000,101,1,7.7e-06,7.7e-06,7.7e-06,7.7e-06,0.0057211,7.7e-06,0.0
1607691660000,101,1,7.69e-06,7.69e-06,7.69e-06,7.69e-06,0.18738992,7.69e-06,0.0013003901170354215
1607691720000,101,1,7.69e-06,7.69e-06,7.69e-06,7.69e-06,0.01019694,7.69e-06,0.0013003901170354215
1607691780000,101,1,7.71e-06,7.71e-06,7.69e-06,7.69e-06,0.001711,7.696666666666667e-06,0.0013003901170354215
1607691840000,101,1,7.69e-06,7.7e-06,7.69e-06,7.7e-06,0.39503029,7.696666666666667e-06,-0.0012987012987014657
1607691900000,101,1,7.71e-06,7.71e-06,7.69e-06,7.69e-06,0.00329916,7.696666666666667e-06,0.0
1607691960000,101,1,7.7e-06,7.71e-06,7.69e-06,7.71e-06,0.01857992,7.703333333333333e-06,-0.0025940337224386045
1607692020000,101,1,7.71e-06,7.71e-06,7.7e-06,7.71e-06,0.11925419,7.706666666666667e-06,-0.0012970168612191912
1607692080000,101,1,7.71e-06,7.72e-06,7.71e-06,7.72e-06,3.43606191,7.716666666666667e-06,-0.0038860103626945364
1607692140000,101,1,7.72e-06,7.73e-06,7.71e-06,7.71e-06,0.02283694,7.716666666666667e-06,0.0
1607692200000,101,1,7.73e-06,7.73e-06,7.71e-06,7.71e-06,0.2397637,7.716666666666667e-06,0.0
1607692260000,101,1,7.71e-06,7.72e-06,7.71e-06,7.71e-06,0.13541993,7.713333333333333e-06,0.0012970168612191912
1607692320000,101,1,7.72e-06,7.72e-06,7.72e-06,7.72e-06,0.00076428,7.72e-06,-0.0012953367875647714
1607692380000,101,1,7.72e-06,7.72e-06,7.72e-06,7.72e-06,0.0,7.72e-06,-0.0012953367875647714
1607692440000,101,1,7.72e-06,7.72e-06,7.72e-06,7.72e-06,0.01557896,7.72e-06,-0.0012953367875647714
1607692500000,101,1,7.71e-06,7.72e-06,7.71e-06,7.72e-06,0.04282167,7.716666666666667e-06,0.0
1607692560000,101,1,7.71e-06,7.71e-06,7.7e-06,7.71e-06,0.07457847,7.706666666666667e-06,0.0012970168612191912
1607692620000,101,1,7.7e-06,7.71e-06,7.7e-06,7.7e-06,0.17518201,7.703333333333335e-06,0.0025974025974024872
1607692680000,101,1,7.7e-06,7.7e-06,7.69e-06,7.7e-06,0.07425033,7.696666666666667e-06,0.0025974025974024872
1607692740000,101,1,7.71e-06,7.71e-06,7.69e-06,7.69e-06,0.15573371,7.696666666666667e-06,0.002600780234070399
1607692800000,101,1,7.7e-06,7.71e-06,7.69e-06,7.71e-06,0.1656165,7.703333333333333e-06,-0.0012970168612191912
1607692860000,101,1,7.7e-06,7.71e-06,7.7e-06,7.7e-06,0.30272755,7.703333333333335e-06,0.0
1607692920000,101,1,7.69e-06,7.7e-06,7.69e-06,7.7e-06,0.01749576,7.696666666666667e-06,-0.0012987012987014657
1607692980000,101,1,7.69e-06,7.7e-06,7.69e-06,7.7e-06,0.00915629,7.696666666666667e-06,0.0012987012987013546
1607693040000,101,1,7.7e-06,7.7e-06,7.7e-06,7.7e-06,0.0430738,7.7e-06,0.0
1607693100000,101,1,7.7e-06,7.71e-06,7.7e-06,7.7e-06,0.07474561,7.703333333333335e-06,0.0
1607693160000,101,1,7.7e-06,7.7e-06,7.7e-06,7.7e-06,0.0,7.7e-06,0.0
1607693220000,101,1,7.71e-06,7.71e-06,7.71e-06,7.71e-06,0.04557381,7.71e-06,-0.0012970168612191912
1607693280000,101,1,7.7e-06,7.71e-06,7.7e-06,7.71e-06,0.00980497,7.706666666666667e-06,-0.0012970168612191912
1607693340000,101,1,7.7e-06,7.71e-06,7.69e-06,7.71e-06,0.34676898,7.703333333333333e-06,-0.0012970168612191912
1607693400000,101,1,7.71e-06,7.71e-06,7.71e-06,7.71e-06,0.0582105,7.71e-06,0.0
1607693460000,101,1,7.72e-06,7.72e-06,7.72e-06,7.72e-06,0.00419196,7.72e-06,-0.0012953367875647714
1607693520000,101,1,7.71e-06,7.71e-06,7.71e-06,7.71e-06,0.09265878,7.71e-06,0.0
1607693580000,101,1,7.72e-06,7.72e-06,7.72e-06,7.72e-06,0.0245496,7.72e-06,-0.0012953367875647714
1607693640000,101,1,7.72e-06,7.72e-06,7.71e-06,7.72e-06,0.55064435,7.716666666666667e-06,0.0
1607693700000,101,1,7.72e-06,7.73e-06,7.7e-06,7.7e-06,1.76324038,7.71e-06,0.0012987012987013546
1607693760000,101,1,7.72e-06,7.72e-06,7.7e-06,7.72e-06,0.17975081,7.713333333333335e-06,0.0
1607693820000,101,1,7.72e-06,7.72e-06,7.71e-06,7.71e-06,0.0058816,7.713333333333333e-06,0.0012970168612191912
1607693880000,101,1,7.72e-06,7.73e-06,7.71e-06,7.73e-06,0.06756477,7.723333333333334e-06,-0.0038809831824061503
1607693940000,101,1,7.73e-06,7.73e-06,7.73e-06,7.73e-06,0.00731258,7.73e-06,-0.001293661060802087
1607694000000,101,1,7.73e-06,7.73e-06,7.72e-06,7.72e-06,0.21426592,7.723333333333334e-06,-0.0012953367875647714
1607694060000,101,1,7.73e-06,7.73e-06,7.72e-06,7.73e-06,0.03222115,7.726666666666668e-06,0.0
1607694120000,101,1,7.73e-06,7.74e-06,7.72e-06,7.72e-06,1.47992369,7.726666666666667e-06,0.0012953367875647714
1607694180000,101,1,7.74e-06,7.74e-06,7.73e-06,7.73e-06,0.0292202,7.733333333333334e-06,-0.001293661060802087
1607694240000,101,1,7.74e-06,7.74e-06,7.73e-06,7.73e-06,0.0077244,7.733333333333334e-06,0.0
